sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Southeastern Louisiana Lions",26,6.1,18.5,6.2,1.013,6.1,3,3.1,49.4,49.4,0.03,2.5,49.4,6.1,3,3.1,49.4,0,0,0,,0
2,"Bethune-Cookman Wildcats",26,4.1,16.7,4.1,1,4.1,2,2.1,48.1,48.1,0.05,4.7,48.1,4.1,2,2.1,48.1,0,0,0,,0
3,"Missouri Tigers",29,7,18.9,6.8,0.966,7,3.3,3.7,47.5,47.5,0.02,2,47.5,7,3.3,3.7,47.5,0,0,0,,0
4,"Oakland Golden Grizzlies",29,4.1,14.8,3.9,0.941,4.1,1.9,2.2,47.1,47.1,0,0,47.1,4.1,1.9,2.2,47.1,0,0,0,,0
5,"Indiana Hoosiers",29,6.9,23.1,6.4,0.92,6.9,3.1,3.8,45.3,45.3,0.01,1.5,45.3,6.9,3.1,3.8,45.3,0,0,0,,0
6,"Niagara Purple Eagles",27,4,15.4,3.6,0.907,4,1.7,2.2,43.9,43.9,0.04,3.7,43.9,4,1.7,2.2,43.9,0,0,0,,0
7,"Delaware State Hornets",26,4.5,17.8,4.1,0.898,4.5,2,2.5,44.9,44.9,0.01,0.8,44.9,4.5,2,2.5,44.9,0,0,0,,0
8,"American University Eagles",27,4.6,15.8,4.1,0.894,4.6,2,2.5,44.7,44.7,0,0,44.7,4.6,2,2.5,44.7,0,0,0,,0
8,"Oklahoma Sooners",27,8,22,7.1,0.894,8,3.4,4.6,43.1,43.1,0.04,4.2,43.1,8,3.4,4.6,43.1,0,0,0,,0
10,"Wisconsin Badgers",28,5.2,17.5,4.6,0.89,5.2,2.3,2.9,43.8,43.8,0.01,1.4,43.8,5.2,2.3,2.9,43.8,0,0,0,,0
10,"North Florida Ospreys",28,4.9,17.2,4.3,0.89,4.9,2.1,2.7,44.1,44.1,0.01,0.7,44.1,4.9,2.1,2.7,44.1,0,0,0,,0
12,"Presbyterian Blue Hose",27,3.7,16.5,3.3,0.88,3.7,1.6,2.1,44,44,0,0,44,3.7,1.6,2.1,44,0,0,0,,0
13,"Jackson State Tigers",26,5,19.3,4.4,0.878,5,2.2,2.9,42.7,42.7,0.03,3.1,42.7,5,2.2,2.9,42.7,0,0,0,,0
14,"Boston College Eagles",30,4.5,14.8,3.9,0.873,4.5,1.9,2.6,42.5,42.5,0.03,3,42.5,4.5,1.9,2.6,42.5,0,0,0,,0
15,"Binghamton Bearcats",27,4.5,15.9,3.9,0.868,4.5,1.9,2.6,43,43,0.01,0.8,43,4.5,1.9,2.6,43,0,0,0,,0
