sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"New Orleans Privateers",10,27.6,43.4,38.3,1.388,27.6,18.6,9,67.4,67.4,0.07,6.5,67.4,27.6,18.6,9,67.4,0,0,0,,0
2,"Le Moyne Dolphins",12,24.5,39.5,33.9,1.384,24.5,16.2,8.3,66,66,0.08,7.8,66,24.5,16.2,8.3,66,0,0,0,,0
3,"Mercyhurst Lakers",11,27.5,47.1,38.1,1.383,27.5,18.2,9.4,66,66,0.08,7.9,66,27.5,18.2,9.4,66,0,0,0,,0
4,"Oral Roberts Golden Eagles",12,26.6,41.9,35.9,1.351,26.6,17.1,9.5,64.3,64.3,0.1,10,64.3,26.6,17.1,9.5,64.3,0,0,0,,0
5,"Jackson State Tigers",11,20.9,36.9,28.1,1.343,20.9,13.5,7.5,64.3,64.3,0.09,8.7,64.3,20.9,13.5,7.5,64.3,0,0,0,,0
6,"Saint Francis (PA) Red Flash",11,26.8,41.5,34.9,1.302,26.8,16.9,9.9,63.1,63.1,0.05,5.4,63.1,26.8,16.9,9.9,63.1,0,0,0,,0
7,"Bellarmine Knights",13,26.9,39.2,34.6,1.286,26.9,16.7,10.2,62,62,0.05,5.4,62,26.9,16.7,10.2,62,0,0,0,,0
8,"Southeastern Louisiana Lions",10,31.1,46.2,39.7,1.277,31.1,19.1,12,61.4,61.4,0.07,7.1,61.4,31.1,19.1,12,61.4,0,0,0,,0
9,"Cal Poly SLO Mustangs",12,24.6,40.2,31.3,1.275,24.6,15.1,9.5,61.4,61.4,0.07,7.5,61.4,24.6,15.1,9.5,61.4,0,0,0,,0
10,"Louisiana-(Lafayette) Ragin Cajuns",11,25.2,42.1,31.8,1.264,25.2,15.3,9.9,60.6,60.6,0.06,5.8,60.6,25.2,15.3,9.9,60.6,0,0,0,,0
11,"Texas A&M-(Corpus Christi) Islanders",9,23.3,38.7,29.4,1.262,23.3,14.2,9.1,61,61,0.07,7.1,61,23.3,14.2,9.1,61,0,0,0,,0
12,"Southern University Jaguars",11,22.9,41.4,28.8,1.258,22.9,13.8,9.1,60.3,60.3,0.09,8.7,60.3,22.9,13.8,9.1,60.3,0,0,0,,0
13,"Bethune-Cookman Wildcats",10,26.8,44.8,33.6,1.254,26.8,15.9,10.9,59.3,59.3,0.1,9.7,59.3,26.8,15.9,10.9,59.3,0,0,0,,0
14,"Long Beach State 49ers",11,27.9,42.9,34.8,1.248,27.9,16.9,11,60.6,60.6,0.07,7.2,60.6,27.9,16.9,11,60.6,0,0,0,,0
15,"Chicago State Cougars",12,26.8,43,33.3,1.246,26.8,15.8,10.9,59.2,59.2,0.07,7.2,59.2,26.8,15.8,10.9,59.2,0,0,0,,0
16,"Middle Tennessee State Blue Raiders",12,20.8,36.8,25.8,1.245,20.8,12.4,8.3,59.8,59.8,0.06,6,59.8,20.8,12.4,8.3,59.8,0,0,0,,0
16,"Tennessee State Tigers",11,26.7,43,33.3,1.245,26.7,15.6,11.1,58.5,58.5,0.09,8.8,58.5,26.7,15.6,11.1,58.5,0,0,0,,0
16,"Boston College Eagles",14,19.9,33.9,24.7,1.245,19.9,11.9,8,59.7,59.7,0.06,6.1,59.7,19.9,11.9,8,59.7,0,0,0,,0
19,"Cornell Big Red",12,20.3,37.8,25.2,1.238,20.3,12.3,8.1,60.2,60.2,0.05,5.3,60.2,20.3,12.3,8.1,60.2,0,0,0,,0
