sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Penn State Lady Lions",27,1.3,1.5,1.6,1.222,1.1,0.7,0.5,58.1,59.7,8.3,13.9,0.23,13.9,55.6,1,0.6,0.4,60.7,0.1,0,0.1,33.3,0.1
2,"Gardner-Webb Runnin Bulldogs",28,0.3,0.4,0.4,1.111,0.1,0.1,0,75,75,33.3,22.2,1,11.1,55.6,0.1,0.1,0,100,0,0,0,0,0.25
3,"Illinois Fighting Illini",27,2.8,3.5,2.9,1.053,1.8,0.9,0.9,49,52,14.7,22.7,0.67,22.7,52,1.6,0.8,0.8,48.8,0.2,0.1,0.1,50,0.12
4,"Morgan State Bears",27,1.9,2.2,2,1.039,1.3,0.6,0.6,50,51.5,13.7,25.5,0.68,23.5,52.9,1.2,0.6,0.6,50,0.1,0,0,50,0.06
5,"Southern Illinois Salukis",25,3.1,3.8,3.2,1.038,2.1,1,1.1,49.1,50,10.3,25.6,0.7,25.6,52.6,2,1,1,49,0.1,0,0,50,0.04
6,"Nebraska Cornhuskers",28,3.1,3.8,3.2,1.023,2,1.1,0.9,54.5,54.5,18.4,18.4,0.58,17.2,51.7,1.9,1.1,0.9,55.6,0,0,0,0,0.02
7,"Boston College Eagles",30,1.9,2.4,2,1.017,1.2,0.6,0.6,50,55.6,22.4,22.4,0.61,22.4,46.6,1.1,0.5,0.6,43.8,0.1,0.1,0,100,0.11
8,"Cal State Bakersfield Roadrunners",26,2.5,3,2.5,1.015,1.5,0.7,0.8,47.4,48.7,13.8,32.3,1.03,27.7,50.8,1.3,0.7,0.6,51.5,0.2,0,0.2,20,0.13
9,"Rider Broncs",27,3.1,4,3.1,1,2.3,1.2,1.1,53.2,54.8,14.3,17.9,0.4,17.9,50,2.1,1.1,1,54.4,0.2,0.1,0.1,40,0.08
9,"Oakland Golden Grizzlies",28,2.3,2.8,2.3,1,1.6,0.8,0.9,47.8,48.9,7.9,20.6,0.54,19,52.4,1.4,0.8,0.6,55.3,0.3,0,0.3,12.5,0.17
9,"Hofstra Pride",24,2.5,3.2,2.5,1,1.9,0.9,1,48.9,51.1,10.2,18.6,0.4,18.6,49.2,1.7,0.8,0.9,48.8,0.2,0.1,0.1,50,0.09
12,"Navy Midshipmen",26,2.3,2.9,2.3,0.983,1.8,0.9,0.9,50,50,8.3,13.3,0.31,10,51.7,1.7,0.9,0.8,54.5,0.2,0,0.2,0,0.08
13,"Valparaiso University",27,1.6,1.8,1.6,0.977,1.2,0.4,0.7,37.5,39.1,4.5,22.7,0.66,20.5,50,1.1,0.4,0.7,37.9,0.1,0,0.1,33.3,0.09
13,"Florida Atlantic Owls",27,3.2,3.8,3.1,0.977,2.3,1.1,1.1,49.2,50.8,16.1,23,0.52,23,47.1,2.1,1,1,50,0.2,0.1,0.1,40,0.08
15,"North Florida Ospreys",27,2.6,3.1,2.5,0.971,2,1,1,50.9,53.8,17.1,11.4,0.25,8.6,45.7,1.7,0.9,0.9,51.1,0.2,0.1,0.1,50,0.11
15,"Western Michigan Broncos",25,2.7,3.4,2.6,0.971,2.2,1,1.3,42.9,43.8,5.9,16.2,0.36,14.7,47.1,2.2,0.9,1.2,42.6,0.1,0,0,50,0.04
17,"Troy Trojans",28,2.5,2.8,2.4,0.957,1.6,0.8,0.9,47.8,48.9,12.9,24.3,0.7,22.9,50,1.5,0.8,0.7,51.2,0.2,0,0.1,20,0.11
18,"Chicago State Cougars",27,3.1,3.6,2.9,0.952,2.3,1,1.4,41.3,42.9,7.2,21.7,0.51,20.5,47,2.1,0.9,1.2,42.1,0.2,0.1,0.1,33.3,0.1
19,"Air Force Falcons",27,3,3.9,2.8,0.95,2,1,1,50.9,53.8,20,18.8,0.49,17.5,47.5,1.8,0.9,0.9,49,0.1,0.1,0,75,0.08
20,"Oregon State Beavers",29,2.6,3.3,2.4,0.947,1.9,0.9,1.1,44.6,45.5,12,16,0.39,16,46.7,1.8,0.8,0.9,47.1,0.2,0,0.1,20,0.09
21,"South Carolina State Bulldogs",26,2.1,2.3,2,0.944,1.5,0.7,0.8,46.2,48.7,14.8,20.4,0.46,14.8,46.3,1.3,0.6,0.7,48.5,0.2,0.1,0.2,33.3,0.15
